id,area,item,what_was_fixed,kill_switch,commit_or_build,status,verified_by,needs_refix,notes
RC-1,root-cause,First-click / multichart interaction dead on fallback-B,Re-migration engine substrate off fallback-B (Phase 1),__TALARIA_* re-migration phase flags,20260716b1 (6dc552a8),RESOLVED,honest harness H-R02/H-R03 10/10,no,Engine substrate on main + kill-switched
RC-2,root-cause,Slow interaction / grid renders above candles while panning,Freeze-safe local invalidation V2,__TALARIA_* invalidation V2,T2 step4 committed,RESOLVED,gate green,no,peer/iframe repaint deferred to re-migration
RC-3,root-cause,Label mis-anchor / drawing anchoring drift,5 of 6 phases (clamp/paste-ts/fractional/label-anchor),per-phase switches,T5 steps 3-6,RESOLVED,property + honest proofs,no,Phase 5 (multichart parity) deferred into RC-4 re-migration track
RC-4,root-cause,Multichart re-migration interaction family,Phases 0-6 engine complete (select/delete/peer-iso/keyboard/marquee),per-phase + master P5 switch,20260716b10 (pending bless),RESOLVED-DEV,H-R06+H-R07 10/10; H-R03 fixed,no,Combined-build bless pending Worker 1 chrome fix
RC-5,root-cause,Order-entry parse / drag-input family,18 fixed / 4 need-live / 2 cross-track,order-interaction-guard.mjs switches,baf2ab12,RESOLVED-NEEDS-LIVE,36 property tests + RED-again,no,PO live-confirm outstanding on a5
RC-6,root-cause,Indicator lifecycle / visibility / settings-apply / replay UI sync,M1-M5 + M4 mechanism set complete,__TALARIA_RC6_* per-mechanism,3502177c + M4 slice,RESOLVED-NEEDS-LIVE,property tests,no,synthetic actuation; needs live confirm
RC-8,root-cause,(replay/cadence family, tracked under T8),Finest-TF unified replay clock,__TALARIA_MC_DISABLE_FINEST_TF_REPLAY_CADENCE,d6d9822f (staging b1),RESOLVED-NEEDS-PO-AB,H-S83 PASS,no,PO A/B acceptance pending
H-R02,remig-row,Panel-B ctrl-select actuation,Phase 1 engine substrate,phase1 flag,20260716b1,RESOLVED,10/10 ON; discriminator --hr02-actuation-miss,no,discriminator of record established (D-023)
H-R03,remig-row,Panel-B ctrl-select double-actuation regression,iframe ctrl-select dedupe + synced-drawing wrong-pick,__TALARIA_DISABLE_IFRAME_CTRL_SELECT_DEDUPE_V1,ecaa8a9c,RESOLVED,10/10 ON; 10/10 FAIL switch-off (dedupe A/B discriminator),no,was regressed on b6; discriminator = dedupe A/B
H-R04,remig-row,Panel-B settings dbl-click open/stays,D-024 dom-ready + D-026 settings-transport (Hunk B/C causal; A depth),__TALARIA_DISABLE_MULTICHART_PANELB_SETTINGS_TRANSPORT_V1,20260717b03,RESOLVED-DEV,H-R04 10/10 ON; switch-OFF honest RED; A-off 10/10,no,D-026 FIX report; Lane 4 bless pending
H-R05,remig-row,Panel-B Esc closes settings after open,D-024 dom-ready + D-026 transport (Esc user-close bypass),__TALARIA_DISABLE_MULTICHART_PANELB_SETTINGS_TRANSPORT_V1,20260717b03,RESOLVED-DEV-PO,b16 PO 10/10; b42 harness 9/10 FAIL-FLAKE (NOT green),no,PO-verified on b16; harness flake DECOUPLED D-032 → CHROME-STAB-01; do NOT mark green until 10/10
H-R09,remig-row,Panel-B single-click V9 bar live-resolve lag,H-R09 live-resolve V1 (contingency),__TALARIA_DISABLE_V9_QUICKBAR_LIVE_RESOLVE_V1,20260717b42,RESOLVED-DEV,H-R09 10/10 ON; H-R09-LR 9/10; H-R04 10/10,no,Contingency after D-024 barrier insufficient; I16 state matrix=none
MC-DRAW-FIRSTCLICK,drawing,Multichart armed-tool unfocused tile 2-click draw,Focused-panel armed-tool inherit on canvas pointerdown (host+iframe),__TALARIA_DISABLE_MULTICHART_ARMED_DRAW_FOCUS_FORWARD_V1,20260717b44,RESOLVED-DEV,harness A→B + B→A 10/10 ON; switch-OFF 10/10 RED,no,MC-DRAW-FIRSTCLICK-2 symmetric reverse
MC-DRAW-FIRSTCLICK-2,drawing,Reverse: B armed → unfocused A needs 2-click draw,Same focused-panel inherit outward (host tile),__TALARIA_DISABLE_MULTICHART_ARMED_DRAW_FOCUS_FORWARD_V1,20260717b44,RESOLVED-DEV,harness 10/10 ON; switch-OFF 10/10 RED; MC-DRAW-FIRSTCLICK no regression,no,symmetric MC-DRAW-FIRSTCLICK
H-A7b-R2,drawing,D-029 R2 multichart VP axis-margin crush,_enforceAxisMarginFloor in chart.js,__TALARIA_DISABLE_AXIS_MARGIN_FLOOR_AFTER_VP_FIX,20260718b01,RESOLVED-DEV,H-A7b-R2 10/10 ON; OFF 10/10 FAIL; H-R04/H-R05 x10,no,Closes TAL-01665/01666/01667 scale leg
TAL-01665,drawing,Price+time scales vanish after multichart VP,D-029 R2 axis-margin floor (CORE-1),__TALARIA_DISABLE_AXIS_MARGIN_FLOOR_AFTER_VP_FIX,20260718b01,RESOLVED-DEV,H-A7b-R2 + CKPT-004,no,PO multichart VP retest pending
TAL-01666,drawing,Chart control loss partial (scale leg),D-029 R2 axis-margin floor (CORE-1),__TALARIA_DISABLE_AXIS_MARGIN_FLOOR_AFTER_VP_FIX,20260718b01,RESOLVED-DEV,same family as 01665,no,PO confirm
TAL-01667,drawing,Chart control loss partial (scale leg),D-029 R2 axis-margin floor (CORE-1),__TALARIA_DISABLE_AXIS_MARGIN_FLOOR_AFTER_VP_FIX,20260718b01,RESOLVED-DEV,same family as 01665,no,PO confirm
H-R06,remig-row,Panel-B Delete drawing,Phase 4 keyboard bridge (multi-delete reads dm.selectedDrawings),__TALARIA_PANEL_KEYBOARD_V1,f46e6d9d,RESOLVED,10/10 ON; 10/10 FAIL switch-off,no,engine committed
H-R07,remig-row,Panel peer-isolation (dual-select leak),Phase 5 peer isolation,P5 master switch,52894a8d,RESOLVED,10/10 ON; --phase5-off 9/10 FAIL,no,MultichartGrid+multichart-manager
H-R08,remig-row,Marquee select,Phase 6 marquee prep (iframe-local),Phase 6 switch,prep-only,DEFERRED,prep banked,no,impl gated on P5 green; low priority
H-R14,remig-row,Marquee variant,Phase 6 marquee prep,Phase 6 switch,prep-only,DEFERRED,prep banked,no,rides combined build
H-R12,remig-row,Chrome leg,genuinely green on fallback (Phase 0),n/a,n/a,RESOLVED,Phase 0 baseline,no,dropped from Phase 2 scope
H-S18,replay,Manager gate poison / infinite redraw loop,Suppress sync re-entry during play,reused existing switch,fixed,RESOLVED,H-S18+cascade clear,no,root = T2 invalidation x replay recursion
H-S20,replay,Coarse 1D mirror regression,BL-10 mirror-first restored,n/a,4bb97a0b (staging a3),RESOLVED,I9-clean,no,true step-5 regression fixed
H-S25,replay,Panel replay-follow seam leap,bar-boundary follow leap (fail-real-bug),panel-cmd-bridge switch,fix held post-b1,NEEDS-REFIX,A/B flat = not cadence-fixed,YES-QUEUED,post-b1 landing order item 1
H-S27,replay,seek-loop race,synthetic-harness artifact,n/a,n/a,FLAKE-TRACKED,5/10 isolated,no,per I15 not trusted row until re-actuated faithfully
H-S28,replay,Boot reanchor,Track B reanchor,n/a,staging a4,RESOLVED,H-S28 PASS,no,
H-S30,replay,Step-spam refetch,already fixed by step-spam guard,__TALARIA_MC_DISABLE_STEP_SPAM_REFETCH_GUARD,promote-only,RESOLVED,promote from known-failing,no,false-green -> promote-only
H-S40,harness,bar-open drift probe,dishonest RED; honest probe = genuinely green,n/a,n/a,RESOLVED,RC-3 volume-render green,no,promoted (-2 KF)
H-S41,harness,bar-open drift probe,dishonest RED; honest probe green,n/a,n/a,RESOLVED,honest probe,no,promoted
H-S59b,freeze,TAL-01590 independent-symbol freeze,fix + fence,weak switch,staging a1,GREEN-SYNTHETIC,honest actuation weak A/B,no,not promoted (WEAK/DEV-ONLY)
H-S73,replay,Snap-back pin (TAL-01579),stays own registered defect,n/a,n/a,OPEN-TRACKED,D-017 ruling,YES-TRACKED,NOT folded into snap-back
H-S79,replay,Playhead save/restore,Track A playhead-restore,n/a,staging a4,RESOLVED,H-S79 PASS,no,
H-S80,replay,TF-label desync after refresh,TF-label sync (parent React pills),TF-label switch,staging a5,RESOLVED-NEEDS-LIVE,H-S80 PASS host+dist,no,PO confirmed label persists (a5)
H-S82,replay,Pan-release snap-back,released viewport wins; prepend re-based,__TALARIA_MC_DISABLE_PAN_RELEASE_ANCHOR_HOLD,9462cef3 (b2),RESOLVED,honest A/B,no,D-017 policy
H-S83,replay,Finest-TF cadence RED,finest-TF unified clock,__TALARIA_MC_DISABLE_FINEST_TF_REPLAY_CADENCE,d6d9822f (b1),RESOLVED,10/10 isolated; session-order flake in suite,no,PO A/B pending
TAL-01590,freeze,Panel-freeze / edge-park mixed-TF,unified play edge-park fix,unified switch,staging a2/a4,RESOLVED,PO a4 panel-freeze PASS,no,PO accepted (staging authority)
A6-1,order,Apply-on-release order landing,apply-on-release (+2 edge cells),order-interaction-guard switch,b50d45d4,RESOLVED-NEEDS-LIVE,edge a/b,no,D-020 approved
A6-2,order,F5 order persistence,session-scoped persistence,__TALARIA_DISABLE_ORDER_PERSISTENCE_V1,258ba30f,RESOLVED-NEEDS-LIVE,16 tests GREEN/RED-again,no,NEEDS-LIVE F5
A6-3,order,Order-half interaction,A6-3-half landed,guard switch,2f70df64,RESOLVED-NEEDS-LIVE,property tests,no,A6-3-chart post-unfreeze
A6-4,order,Host-canonical order store,ownership inversion architecture,n/a,ratified,DEFERRED,design ratified,no,dispatch post-re-migration w/ Phase 7
OrderEntry#4,order,keyboard-pan deferral,Phase 2 deferral,guard switch,b6b4473d,RESOLVED,RED-again,no,cross-track consolidated
OrderEntry#5,order,keyboard-pan,Phase 3 keyboard-pan,guard switch,5889a1f0,RESOLVED,no chart.js edit,no,
OT-MS,backlog,V9 Layers / legacy tree no multi-select highlight,read wrong path (reads geometry not selection),__TALARIA_DISABLE_OBJECTS_TREE_MULTISELECT_HIGHLIGHT_V1,RED OT-MS-01/02/03,OPEN-BACKLOG,diagnostic done,YES-BACKLOG,post-P1 rides combined build; NOT critical path
PLAN2-FOUND#3,objects-tree,Objects-tree duplication,geometry-vs-id dedupe prototype,n/a,b105 prototype,NEEDS-PO-CONFIRM,prototype staged,YES-PENDING,independent of lifecycle collapse
ESC-021,escalation,Panel-B chrome-readiness race,resolved by D-024 (gated fix authorized),__TALARIA_DISABLE_MULTICHART_CHROME_DOM_READY_V4,pending,IN-PROGRESS,Worker 1 fix,YES-ACTIVE,ready-signal becomes harness wait primitive
COMBINED-BUILD,gate,Unfreeze = one combined build,assembly of all re-migration + cadence + order + settings + TF-label,all switches,20260717b44,SUPERSEDED-D031,CKPT-001 b42 shipped D-032,no,D-031 checkpoint protocol; bless path retired for A6-4
H-A8-VP-1,drawing,A8-VP-1 anchored VP V9 label bridge (TAL-01662),avStyle priceLabels/timeLabels + applyAvStyleBridgeFromSnapshot + avImmediate flush,__TALARIA_DISABLE_VP_V9_AV_LABEL_BRIDGE_FIX,20260718b05,RESOLVED-DEV,H-A8-VP-1 10/10 ON on unified b05,no,Closes TAL-01662; merged with A8 tranches CKPT-005
H-A8-VP-2,drawing,A8-VP-2 anchored VP coord tab ↔ canvas sync (TAL-01664),avCoordBridge + applyCanvasToTlStylePatch av patch + engine horizontal-anchor Y sync + endHandleDrag notify,__TALARIA_DISABLE_VP_V9_AV_COORD_REPOSITION_FIX,20260718b05,RESOLVED-DEV,H-A8-VP-2 10/10 ON; D-026 H-R04/H-R05 x10 on b05,no,Closes TAL-01664; merged with A8 tranches CKPT-005
TAL-01662,drawing,Anchored VP Price/Time labels dead in V9,A8-VP-1 label bridge,__TALARIA_DISABLE_VP_V9_AV_LABEL_BRIDGE_FIX,20260718b05,RESOLVED-DEV,H-A8-VP-1,no,PO anchored-VP label toggle retest pending
TAL-01664,drawing,Anchored VP coordinates reposition / live sync,A8-VP-2 coord bridge + engine geometry-live payload,__TALARIA_DISABLE_VP_V9_AV_COORD_REPOSITION_FIX,20260718b05,RESOLVED-DEV,H-A8-VP-2,no,PO coord tab ↔ handle drag retest pending
H-A8-1,drawing,A8-1 Shift+corner square pixel constraint,_constrainPixelDeltaToSnapAngles + box shift fix,__TALARIA_DISABLE_A8_BOX_SHIFT_SQUARE_PIXEL_FIX,20260718b05,RESOLVED-DEV,H-A8-1 10/10 ON,no,CKPT-005 unified drawing build
H-A8-2,drawing,A8-2 Shift+body drag stale transform ghost,_commitStaleDrawingGroupTransform + live pixel move,__TALARIA_DISABLE_A8_SHIFT_DRAG_STALE_TRANSFORM_FIX,20260718b05,RESOLVED-DEV,H-A8-2 10/10 ON,no,CKPT-005 unified drawing build
H-A8-3,drawing,A8-3 live cross-panel timestamp sync on Shift+move,_broadcastLiveEditUpdate timestampPoints + multichart sync gate + receive apply,__TALARIA_DISABLE_A8_SHIFT_LIVE_CROSSPANEL_SYNC_FIX,20260718b05,RESOLVED-DEV,H-A8-3 10/10 ON; tsDelta=0 mixed TF,no,Closes TAL-01651 partial; CKPT-005
H-A8-4,drawing,A8-4 locked drawing pan pass-through,_applyLockedDrawingPanPassthrough + skip locked-guard,__TALARIA_DISABLE_A8_LOCKED_DRAWING_PAN_PASSTHROUGH_FIX,20260718b05,RESOLVED-DEV,H-A8-4 10/10 ON,no,Closes TAL-01652; CKPT-005
TAL-01651,drawing,Shift tools misaligned across layouts / start point,A8-3 live sync timestamp wire on multichart bridge,__TALARIA_DISABLE_A8_SHIFT_LIVE_CROSSPANEL_SYNC_FIX,20260718b05,RESOLVED-DEV,H-A8-3 mixed-TF,no,PO 2-panel mixed-TF retest pending
TAL-01652,drawing,Locked shape blocks chart pan,A8-4 pointer pass-through,__TALARIA_DISABLE_A8_LOCKED_DRAWING_PAN_PASSTHROUGH_FIX,20260718b05,RESOLVED-DEV,H-A8-4,no,PO locked-body pan retest pending
